จังหวัด,เขต,ผู้มีสิทธิเลือกตั้ง,ผู้ใช้สิทธิเลือกตั้ง,ร้อยละ,บัตรเสีย,ร้อยละ2, บัตรไม่เลือกผู้สมัครผู้ใด,ร้อยละ3
กรุงเทพมหานคร,1,137554,94406,68.63195545,1259,1.333601678,3056,3.237082389
กรุงเทพมหานคร,2,140733,96992,68.91915897,1368,1.410425602,3426,3.532250082
กรุงเทพมหานคร,3,125476,88098,70.21103637,1130,1.28266249,2685,3.047742287
กรุงเทพมหานคร,4,130260,89245,68.51297405,1392,1.559751247,2485,2.784469718
กรุงเทพมหานคร,5,132454,99240,74.9241246,1218,1.22732769,2944,2.966545748
กรุงเทพมหานคร,6,145675,108113,74.21520508,1444,1.335639562,3355,3.103234579
กรุงเทพมหานคร,7,142086,99645,70.13006208,1294,1.298610066,3375,3.387023935
กรุงเทพมหานคร,8,142174,108227,76.1229198,1040,0.960943203,3638,3.361453242
กรุงเทพมหานคร,9,146096,107795,73.78367649,1925,1.785797115,3949,3.663435224
กรุงเทพมหานคร,10,137039,104102,75.96523617,1373,1.318898772,2993,2.87506484
กรุงเทพมหานคร,11,134134,102613,76.50036531,1276,1.243507158,2221,2.164443102
กรุงเทพมหานคร,12,138408,106410,76.88139414,1187,1.115496664,3248,3.052344704
กรุงเทพมหานคร,13,132486,100382,75.76800568,1032,1.028072762,3101,3.089199259
กรุงเทพมหานคร,14,139036,101871,73.26951293,1193,1.171088926,2787,2.73581294
กรุงเทพมหานคร,15,127334,95935,75.34122858,1178,1.227914734,2585,2.694532757
กรุงเทพมหานคร,16,131399,101785,77.46253777,1309,1.286044113,2724,2.676229307
กรุงเทพมหานคร,17,114018,85830,75.27758775,1735,2.021437726,2197,2.559711057
กรุงเทพมหานคร,18,116769,89624,76.75324787,1967,2.194724627,2587,2.886503615
กรุงเทพมหานคร,19,131753,101228,76.8316471,1292,1.276326708,3401,3.359742364
กรุงเทพมหานคร,20,122467,90262,73.70312002,1680,1.861248366,2490,2.758635971
กรุงเทพมหานคร,21,131750,99180,75.27893738,1314,1.324863884,2325,2.344222626
กรุงเทพมหานคร,22,130951,97065,74.1231453,1268,1.306341112,3145,3.240096842
กรุงเทพมหานคร,23,145165,105969,72.99900114,1265,1.193745341,3361,3.171682284
กรุงเทพมหานคร,24,142622,103082,72.2763669,1615,1.566713878,3649,3.539900274
กรุงเทพมหานคร,25,125512,92942,74.05029001,1313,1.412709001,2760,2.96959394
กรุงเทพมหานคร,26,135371,101311,74.83951511,1944,1.918843956,2659,2.624591604
กรุงเทพมหานคร,27,129232,101144,78.26544509,1472,1.455350787,1919,1.897294946
กรุงเทพมหานคร,28,136636,105489,77.20439708,1836,1.740465831,2408,2.282702462
กรุงเทพมหานคร,29,143349,108687,75.81985225,2089,1.922032994,3037,2.794262423
กรุงเทพมหานคร,30,140015,104742,74.80769918,1724,1.645949094,3230,3.083767734
กรุงเทพมหานคร,31,141699,110632,78.07535692,1615,1.459794634,3708,3.351652325
กรุงเทพมหานคร,32,142597,101615,71.26026494,1772,1.743837032,3441,3.386311076
กรุงเทพมหานคร,33,148821,109252,73.41168249,1811,1.657635558,3210,2.938161315
กระบี่,1,122769,102097,83.16187311,3521,3.448681156,2184,2.139142188
กระบี่,2,114538,93287,81.44633222,3532,3.786165275,2597,2.783881999
กระบี่,3,119957,99453,82.90720842,3542,3.561481303,1910,1.920505163
กาญจนบุรี,1,132469,105722,79.80886094,3975,3.759860767,3124,2.954919506
กาญจนบุรี,2,129827,107722,82.9734955,3779,3.508104194,1515,1.40639795
กาญจนบุรี,3,134560,113156,84.09334126,4121,3.641874934,1609,1.421930786
กาญจนบุรี,4,130701,103157,78.92594548,5799,5.62152835,1102,1.068274572
กาญจนบุรี,5,118524,87805,74.08204246,4652,5.298103753,1316,1.498775696
กาฬสินธุ์,1,130873,94594,72.27923254,3195,3.377592659,1536,1.623781635
กาฬสินธุ์,2,126334,90776,71.85397439,3013,3.319159249,658,0.724861197
กาฬสินธุ์,3,123546,85608,69.29240931,3757,4.388608541,980,1.144752827
กาฬสินธุ์,4,135327,95030,70.2224981,3996,4.204987899,1004,1.056508471
กาฬสินธุ์,5,136514,97068,71.10479511,4222,4.349528166,1340,1.380475543
กาฬสินธุ์,6,135611,94830,69.9279557,4091,4.314035643,1936,2.041548033
กำแพงเพชร,1,144005,106015,73.61897156,6280,5.923690044,2807,2.647738528
กำแพงเพชร,2,146910,105670,71.92839153,7512,7.108924009,2494,2.360177912
กำแพงเพชร,3,138018,94604,68.54468258,4731,5.00084563,2244,2.371992728
กำแพงเพชร,4,139091,97660,70.213026,5658,5.793569527,1629,1.668031948
ขอนแก่น,1,129179,96838,74.96419697,1850,1.910407072,3189,3.29312873
ขอนแก่น,2,133299,106220,79.68551902,2520,2.37243457,2973,2.798907927
ขอนแก่น,3,131940,96745,73.32499621,2702,2.792909194,804,0.8310507
ขอนแก่น,4,130143,98738,75.86885196,2575,2.607911848,1524,1.543478701
ขอนแก่น,5,131205,87102,66.38618955,2872,3.297283644,1180,1.354733531
ขอนแก่น,6,129388,90922,70.27081337,3002,3.301731154,1381,1.518884318
ขอนแก่น,7,132057,98097,74.28383198,3746,3.818669276,958,0.976584401
ขอนแก่น,8,138274,102147,73.87289006,3909,3.826837793,1685,1.649583443
ขอนแก่น,9,126949,87404,68.84969555,3402,3.892270377,966,1.105212576
ขอนแก่น,10,134888,92271,68.40564023,3503,3.796425746,864,0.936372208
ขอนแก่น,11,131436,94907,72.20776652,3253,3.427565933,710,0.748100772
จันทบุรี,1,146141,114253,78.17997687,3269,2.861194017,3111,2.722904431
จันทบุรี,2,140889,107992,76.65041274,5497,5.090191866,3231,2.991888288
จันทบุรี,3,140887,106198,75.37813993,5017,4.724194429,2558,2.408708262
ฉะเชิงเทรา,1,143562,122124,85.06707903,3088,2.528577511,2500,2.047099669
ฉะเชิงเทรา,2,142721,119211,83.52730152,4644,3.89561366,2434,2.041757891
ฉะเชิงเทรา,3,144787,113283,78.24114043,6069,5.357379307,1591,1.404447269
ฉะเชิงเทรา,4,144726,122385,84.56324365,4166,3.40401193,1873,1.530416309
ชลบุรี,1,127261,104984,82.4950299,2347,2.235578755,2592,2.468947649
ชลบุรี,2,111805,88518,79.17177228,1738,1.963442464,1905,2.152104657
ชลบุรี,3,116766,98964,84.75412363,2511,2.537286286,1754,1.772361667
ชลบุรี,4,117288,94166,80.28613328,4375,4.646050592,1435,1.523904594
ชลบุรี,5,131393,111292,84.70162033,4167,3.744204435,1850,1.662293786
ชลบุรี,6,132344,101948,77.03258176,2317,2.272727273,2053,2.013771727
ชลบุรี,7,118413,92544,78.15358111,1694,1.830480636,1823,1.96987379
ชลบุรี,8,130136,97204,74.6941661,3078,3.166536357,2192,2.255051232
ชลบุรี,9,115650,76391,66.05361003,2036,2.665235433,1515,1.983217918
ชลบุรี,10,131994,93252,70.64866585,2234,2.395659074,3057,3.278213872
ชัยนาท,1,131511,102135,77.66270502,4652,4.55475596,2495,2.442845254
ชัยนาท,2,130811,103343,79.00176591,5693,5.508839496,1608,1.555983473
ชัยภูมิ,1,129659,96638,74.53242737,3660,3.787330036,1871,1.936091393
ชัยภูมิ,2,134045,96809,72.22126898,4435,4.581185634,1291,1.333553699
ชัยภูมิ,3,125919,89484,71.06473209,4417,4.936077958,818,0.9141299
ชัยภูมิ,4,119870,81576,68.05372487,4212,5.163283319,768,0.941453369
ชัยภูมิ,5,131847,93540,70.94586908,5035,5.382723968,1035,1.106478512
ชัยภูมิ,6,133733,97337,72.78457823,4282,4.399149347,794,0.815722695
ชัยภูมิ,7,126779,89778,70.81456708,3434,3.824990532,865,0.963487714
ชุมพร,1,135731,108261,79.76143991,2450,2.263049482,3301,3.049112792
ชุมพร,2,134788,108613,80.58061549,3464,3.189305148,3390,3.12117334
ชุมพร,3,133675,101559,75.97456518,3660,3.603816501,3221,3.171555451
เชียงราย,1,135071,109475,81.04996631,3628,3.31399863,2985,2.72664992
เชียงราย,2,133639,103629,77.54398042,5316,5.129838173,2121,2.046724373
เชียงราย,3,139958,110706,79.09944412,7523,6.795476307,1608,1.4524958
เชียงราย,4,143674,113169,78.76790512,4947,4.371338441,2210,1.952831606
เชียงราย,5,132452,103456,78.10829584,4649,4.493697804,1582,1.52915249
เชียงราย,6,124106,87606,70.58965723,5494,6.271259959,1651,1.884574116
เชียงราย,7,133985,101295,75.60174646,6250,6.170097241,2036,2.009970877
เชียงใหม่,1,139581,108446,77.69395548,2137,1.970565996,4016,3.703225568
เชียงใหม่,2,139823,115112,82.32694192,2982,2.590520537,4113,3.573041907
เชียงใหม่,3,134853,113609,84.24654995,3577,3.148518163,2971,2.615109718
เชียงใหม่,4,140156,114802,81.91015725,2798,2.437239769,3799,3.309175798
เชียงใหม่,5,132614,108428,81.76210656,5342,4.926771683,2678,2.469841738
เชียงใหม่,6,126886,96543,76.08640827,4760,4.930445501,1350,1.398340636
เชียงใหม่,7,132681,103047,77.66522712,6363,6.174852252,2716,2.63569051
เชียงใหม่,8,136368,118394,86.81948844,3646,3.07954795,2748,2.321063567
เชียงใหม่,9,124621,110009,88.27484934,5023,4.565990055,1670,1.518057613
เชียงใหม่,10,119900,99914,83.33110926,7189,7.195187862,1005,1.005865044
